,City1,City2,Distance (km)
8522630,230440,220605,505.324900987643
8522647,230440,220610,444.776427786796
8522696,230440,220620,485.60229952188087
8522698,230440,220630,514.2507732913726
8522705,230440,220635,336.4421426839284
8522765,230440,220640,495.05598649308934
8522766,230440,220650,456.39010827681585
3922341,530010,220660,727.9921773889855
1597104,280030,220665,759.8140836485102
8522830,230440,220667,417.2245700196577
8522867,230440,220669,396.6579016894547
8522893,230440,220670,583.4402399602458
8522897,230440,220672,507.31184391053637
8522925,230440,220675,415.25663596933566
8522928,230440,220680,453.1368137422423
8523057,230440,220690,482.4353564869275
8523061,230440,220695,414.4075413241424
8523072,230440,220700,540.7523428408964
8523081,230440,220710,503.9122294444846
8523148,230440,220720,481.0050744357179
8523150,230440,220730,609.4906562148973
8523159,230440,220735,660.3882040814484
13431929,172100,220740,480.89121854779216
8523181,230440,220750,559.377836143139
8523206,230440,220755,513.7530664398896
13432012,172100,220760,407.71220239973707
8523263,230440,220770,370.0512693354889
8523277,230440,220775,493.6325116845879
8523291,230440,220777,531.5835278309115
8523300,230440,220779,459.86163810859654
1597589,280030,220780,543.0362872972587
13432073,172100,220785,617.3492396617428
8523363,230440,220790,331.8111748584066
8523364,230440,220793,636.6913984405036
8523018,230440,220795,622.4487561321429
8523415,230440,220800,494.40018362405897
8523433,230440,220810,423.8125322162412
8523463,230440,220820,414.9279270837963
8523472,230440,220830,352.1394637742966
8523503,230440,220840,363.48387148054366
